cumulative_flops,cumulative_flops_val_sync,decoder_loss,epoch,step,train/gradient_norm,train_loss,val/decoder_loss,val_loss
1297350572113920.0,,28.67317771911621,1,49,27.1217041015625,1.255328893661499,,
2594701144227840.0,,8.852058410644531,3,99,26.807456970214844,0.9150117039680481,,
3892051850559488.0,,4.0516839027404785,5,149,29.995893478393555,0.6274839639663696,,
5189402288455680.0,,3.2362754344940186,6,199,23.013111114501953,0.4895448088645935,,
6486752994787328.0,,2.2585766315460205,8,249,53.92979431152344,0.389782577753067,,
7784103701118976.0,,2.0860743522644043,10,299,42.66633605957031,0.33837342262268066,,
9081453870579712.0,,1.6149957180023193,12,349,28.954092025756836,0.24371269345283508,,
1.037880457691136e+16,,1.2926805019378662,13,399,14.909221649169922,0.23913578689098358,,
1.1676155283243008e+16,,1.5840039253234863,15,449,28.298410415649414,0.19666185975074768,,
1.2973505989574656e+16,,1.3200050592422485,17,499,30.489870071411133,0.16968782246112823,,
1.4270856695906304e+16,,1.6830575466156006,18,549,19.62681770324707,0.15172284841537476,,
1.5568207402237952e+16,,1.6180371046066284,20,599,28.04459571838379,0.20013576745986938,,
1.68655581085696e+16,,0.9975129961967468,22,649,14.632637023925781,0.15628184378147125,,
1.8162907741159424e+16,,1.0450994968414307,24,699,19.385459899902344,0.11312143504619598,,
1.946025844749107e+16,,0.9122500419616699,25,749,18.218860626220703,0.11911636590957642,,
2.075760915382272e+16,,0.8865984082221985,27,799,14.324824333190918,0.10071489214897156,,
2.205495986015437e+16,,0.8430303335189819,29,849,11.30237102508545,0.09089319407939911,,
2.3352310566486016e+16,,1.0647929906845093,31,899,12.43421459197998,0.08353839814662933,,
2.4649661272817664e+16,,0.7662275433540344,32,949,12.315068244934082,0.10609391331672668,,
2.594701197914931e+16,,0.760057806968689,34,999,12.92138671875,0.09724562615156174,,
,2.594701197914931e+16,,34,999,,,25.359569549560547,0.6865057945251465
2.724436268548096e+16,,0.9336212873458862,36,1049,10.39533519744873,0.08292192220687866,,
2.854171339181261e+16,,0.9914067387580872,37,1099,11.15516185760498,0.05883350968360901,,
2.9839064098144256e+16,,0.8975228667259216,39,1149,9.774704933166504,0.06270970404148102,,
3.1136414804475904e+16,,0.7932255864143372,41,1199,17.882291793823242,0.0637398362159729,,
3.243376551080755e+16,,0.6583746671676636,43,1249,6.906144618988037,0.07386823743581772,,
3.37311162171392e+16,,0.8955749273300171,44,1299,11.394007682800293,0.08594508469104767,,
3.502846692347085e+16,,0.862201452255249,46,1349,9.660335540771484,0.0747232437133789,,
3.632581548231885e+16,,1.2067549228668213,48,1399,19.17169761657715,0.07778281718492508,,
3.76231661886505e+16,,0.6562671661376953,49,1449,8.48522663116455,0.05053500086069107,,
3.892051689498214e+16,,0.8328326344490051,51,1499,12.030406951904297,0.08444344997406006,,
4.021786760131379e+16,,0.733443021774292,53,1549,7.470530986785889,0.06950068473815918,,
4.151521830764544e+16,,0.7255405187606812,55,1599,7.944655895233154,0.04662996158003807,,
4.281256901397709e+16,,0.7288437485694885,56,1649,7.158738613128662,0.07663413882255554,,
