batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,cumulative_flops,cumulative_flops_val_sync,epoch,fused_dir,fused_pds,fused_wmse,step,train/gradient_norm,train_loss,val/fused_dir,val/fused_pds,val/fused_wmse,val_loss
,,,,,,253369516032000.0,,0,0.9366905093193054,4.070960998535156,1.7481752634048462,49,18.074642181396484,2.2489402294158936,,,,
,,,,,,506739032064000.0,,1,0.9297266006469727,2.0978407859802246,1.2165417671203613,99,6.3745927810668945,1.5192984342575073,,,,
,,,,,,760108548096000.0,,2,0.9231622815132141,3.083759069442749,1.314874529838562,149,10.352435111999512,1.7155667543411255,,,,
,,,,,,1013478064128000.0,,3,0.9248178005218506,2.512322187423706,1.3442875146865845,199,18.358917236328125,1.6880015134811401,,,,
,,,,,,1266847580160000.0,,4,0.9108598232269287,3.8158750534057617,0.9457200765609741,249,5.606159210205078,1.418393611907959,,,,
,,,,,,1520217096192000.0,,5,0.91395103931427,4.777823448181152,1.0375933647155762,299,17.207866668701172,1.6067708730697632,,,,
,,,,,,1773586612224000.0,,6,0.9080458879470825,3.936269998550415,1.0625874996185303,349,7.5320329666137695,1.547019124031067,,,,
,,,,,,2026956128256000.0,,7,0.9090964794158936,3.4878616333007812,1.0306650400161743,399,20.361774444580078,1.4703608751296997,,,,
,,,,,,2280325644288000.0,,8,0.9002823829650879,2.417595148086548,1.0292375087738037,449,16.978668212890625,1.361025333404541,,,,
,,,,,,2533695160320000.0,,9,0.9013954401016235,5.454765319824219,0.8881869316101074,499,19.125587463378906,1.5238029956817627,,,,
,,,,,,2787064676352000.0,,10,0.9050197601318359,5.337750434875488,1.1009167432785034,549,21.36468505859375,1.725193738937378,,,,
,,,,,,3040434192384000.0,,11,0.8833312392234802,1.965660572052002,0.7798206806182861,599,9.529157638549805,1.064719796180725,,,,
,,,,,,3293803708416000.0,,12,0.8719700574874878,1.3096649646759033,0.6531051993370056,649,13.160201072692871,0.8712686896324158,,,,
0.14942970871925354,41.74655532836914,0.41213464736938477,8.935596466064453,0.04612278938293457,6.692110061645508,3547173224448000.0,,12,0.8620197772979736,1.0421786308288574,0.5200583338737488,699,4.563835144042969,0.7104781866073608,,,,
,,,,,,3800542740480000.0,,13,0.8690477013587952,2.459512233734131,0.7450008392333984,749,18.55284881591797,1.0778568983078003,,,,
,,,,,,4053912256512000.0,,14,0.8775724172592163,3.0406174659729004,0.7328473925590515,799,19.554302215576172,1.1246663331985474,,,,
,,,,,,4307281772544000.0,,15,0.8580890893936157,3.265460968017578,0.6756986975669861,849,24.284082412719727,1.0880537033081055,,,,
,,,,,,4560651288576000.0,,16,0.8650739789009094,2.415527820587158,0.6526400446891785,899,6.559505939483643,0.9807001948356628,,,,
,,,,,,4814020536172544.0,,17,0.8519675135612488,0.7859349846839905,0.5823326706886292,949,7.747583866119385,0.7461228966712952,,,,
