batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,cumulative_flops,cumulative_flops_val_sync,decoder_loss,epoch,step,train/gradient_norm,train_loss,val/decoder_loss,val_loss
,,,,,,2731600005562368.0,,9.191736221313477,0,49,23.413558959960938,0.9702234268188477,,
1.8985956907272339,59.06792449951172,9.369511604309082,7.830435276031494,1.1965506076812744,0.5267050862312317,5463200011124736.0,,5.3923540115356445,0,99,33.152618408203125,0.47723302245140076,,
1.8523603677749634,28.369699478149414,3.3186047077178955,2.7886645793914795,1.1900336742401123,0.5398517847061157,8194799748251648.0,,2.3879761695861816,0,149,25.504852294921875,0.22468611598014832,,
,,,,,,1.0926400022249472e+16,,1.7995100021362305,1,199,36.71500015258789,0.1445966511964798,,
1.6826677322387695,40.82429885864258,5.321535110473633,25.931482315063477,0.2052152156829834,0.5942943692207336,1.3657999222505472e+16,,1.3276311159133911,1,249,31.384464263916016,0.09949853271245956,,
1.9265459775924683,29.35692596435547,3.1013777256011963,2.6298110485076904,1.1793158054351807,0.5190636515617371,1.6389599496503296e+16,,1.4963226318359375,1,299,57.728031158447266,0.1031377986073494,,
1.6262776851654053,31.899751663208008,2.868098020553589,2.537081718444824,1.1304712295532227,0.6149011254310608,1.9121198696759296e+16,,1.181694746017456,1,349,41.37916946411133,0.1015816405415535,,
,,,,,,2.1852800044498944e+16,,1.1303600072860718,2,399,17.477304458618164,0.08197207003831863,,
1.6466093063354492,31.300174713134766,3.1981873512268066,32.53300094604492,0.09830594062805176,0.607308566570282,2.4584399244754944e+16,,0.9416929483413696,2,449,24.18204116821289,0.08078411221504211,,
1.9384304285049438,31.073734283447266,3.7670605182647705,3.1649177074432373,1.1902554035186768,0.5158812999725342,2.7315998445010944e+16,,1.2651571035385132,2,499,19.82620620727539,0.08573175221681595,,
,,,,,,3.004759979275059e+16,,0.8044474124908447,3,549,23.13095474243164,0.06078845262527466,,
1.6197856664657593,35.02791213989258,3.64911150932312,36.42731475830078,0.10017514228820801,0.6173655986785889,3.277919899300659e+16,,0.7102639079093933,3,599,10.26913833618164,0.0663672536611557,,
1.8550540208816528,29.558700561523438,3.0775201320648193,2.594836473464966,1.1860170364379883,0.5390678644180298,3.551079819326259e+16,,0.9040685296058655,3,649,17.668052673339844,0.07993188500404358,,
1.9005616903305054,33.5910530090332,3.7652461528778076,3.199817419052124,1.1767065525054932,0.5261602401733398,3.824239739351859e+16,,0.6468936204910278,3,699,8.673039436340332,0.0662023052573204,,
,,,,,,4.097400088874189e+16,,0.6041229367256165,4,749,6.415904998779297,0.037125956267118454,,
1.5991319417953491,36.723331451416016,3.5497372150421143,15.003891944885254,0.2365877628326416,0.6253392696380615,4.370560008899789e+16,,0.5265845656394958,4,799,8.277435302734375,0.05660456791520119,,
1.8097755908966064,26.097238540649414,2.9588463306427,2.4780571460723877,1.1940186023712158,0.5525546669960022,4.643719928925389e+16,,0.7600002288818359,4,849,7.693689346313477,0.07539486885070801,,
,,,,,,4.916879848950989e+16,,0.5084989666938782,5,899,5.289261817932129,0.06077750772237778,,
1.580678105354309,31.550765991210938,3.2351717948913574,19.65052032470703,0.16463541984558105,0.6326398849487305,5.190039768976589e+16,,0.5978388786315918,5,949,5.710321426391602,0.05186334252357483,,
1.8996509313583374,29.42353057861328,3.180337905883789,2.670017719268799,1.1911299228668213,0.5264124870300293,5.463199689002189e+16,,0.4979383945465088,5,999,6.006832599639893,0.02308662049472332,,
,,,,,,,5.463199689002189e+16,,5,999,,,43.662879943847656,0.7109619379043579
1.5203841924667358,36.02421951293945,3.268481492996216,2.7584028244018555,1.1849181652069092,0.6577284932136536,5.736360038524518e+16,,6.041994094848633,5,1049,356.1410827636719,0.10437898337841034,,
,,,,,,6.009519958550118e+16,,0.7427464127540588,6,1099,7.488197326660156,0.04694472625851631,,
1.4479799270629883,23.19304847717285,2.5206284523010254,13.32271671295166,0.18919777870178223,0.6906173229217529,6.282679878575718e+16,,0.5679037570953369,6,1149,6.906017303466797,0.04136916995048523,,
1.926805019378662,31.165380477905273,3.320636749267578,2.7872259616851807,1.1913769245147705,0.5189938545227051,6.555839798601318e+16,,0.5609045624732971,6,1199,7.273162364959717,0.041699863970279694,,
,,,,,,6.828999718626918e+16,,0.570995569229126,7,1249,5.938929080963135,0.05500861257314682,,
1.5579094886779785,33.306007385253906,3.337141275405884,24.06973648071289,0.13864469528198242,0.6418858170509338,7.102159638652518e+16,,0.4494052529335022,7,1299,7.971897602081299,0.046834796667099,,
1.7659456729888916,27.533721923828125,2.8489413261413574,2.395279884338379,1.1893980503082275,0.566268801689148,7.375319558678118e+16,,0.4639241695404053,7,1349,11.36253833770752,0.020739257335662842,,
1.6524032354354858,29.683443069458008,2.961932897567749,2.4878199100494385,1.1905736923217773,0.6051791906356812,7.648479478703718e+16,,0.46642452478408813,7,1399,2.9635093212127686,0.027936439961194992,,
,,,,,,7.921639398729318e+16,,0.5247983336448669,8,1449,5.190934658050537,0.03047386184334755,,
1.5870620012283325,37.9213752746582,4.238523483276367,30.584163665771484,0.13858556747436523,0.6300950646400452,8.194800177748378e+16,,0.4324561357498169,8,1499,6.269165992736816,0.02523409202694893,,
1.9516619443893433,32.723567962646484,3.5446507930755615,2.989403247833252,1.1857385635375977,0.5123838186264038,8.467960097773978e+16,,0.5222970247268677,8,1549,3.5378224849700928,0.03450044244527817,,
,,,,,,8.741120017799578e+16,,0.4942798614501953,9,1599,4.585979461669922,0.03301852196455002,,
1.5079224109649658,23.963184356689453,2.6701228618621826,37.02727508544922,0.0721123218536377,0.6631640791893005,9.014279937825178e+16,,0.4427841901779175,9,1649,15.330650329589844,0.03979351371526718,,
1.9616456031799316,35.41085433959961,3.9744412899017334,3.4315743446350098,1.1581976413726807,0.5097760558128357,9.287439857850778e+16,,0.4757053852081299,9,1699,7.731504440307617,0.024968452751636505,,
1.6782495975494385,38.29951477050781,3.344449281692505,2.8137869834899902,1.1885936260223389,0.5958589315414429,9.560599777876378e+16,,0.5361332893371582,9,1749,3.1569671630859375,0.036423951387405396,,
,,,,,,9.833759697901978e+16,,0.6694918870925903,10,1799,5.305596828460693,0.029445283114910126,,
1.5585923194885254,32.90903854370117,2.8706603050231934,10.803380966186523,0.2657186985015869,0.6416046023368835,1.0106919617927578e+17,,0.44439220428466797,10,1849,5.711006164550781,0.022694794461131096,,
1.9211870431900024,38.83786392211914,3.9561402797698975,3.329397678375244,1.1882450580596924,0.5205115079879761,1.0380079537953178e+17,,0.5519668459892273,10,1899,5.790946960449219,0.04666474461555481,,
,,,,,,1.0653239457978778e+17,,0.5130016803741455,11,1949,4.324005603790283,0.03144344687461853,,
1.4521100521087646,25.709497451782227,2.490204334259033,29.806499481201172,0.08354568481445312,0.6886530518531799,1.0926399378004378e+17,,0.4619724154472351,11,1999,4.613758087158203,0.024095583707094193,,
,,,,,,,1.0926399378004378e+17,,11,1999,,,42.958641052246094,0.5718711018562317
1.9101088047027588,39.596473693847656,4.822530746459961,4.104839324951172,1.1748402118682861,0.5235303640365601,1.1199559298029978e+17,,0.3804504871368408,11,2049,3.7737984657287598,0.021930880844593048,,
1.5889570713043213,39.63966369628906,3.0959620475769043,2.6248505115509033,1.1794812679290771,0.6293436288833618,1.1472720077049037e+17,,0.4635303020477295,11,2099,3.7203192710876465,0.04277894273400307,,
,,,,,,1.1745879997074637e+17,,0.4787214398384094,12,2149,4.386852741241455,0.014533033594489098,,
