cumulative_flops,decoder_delta_mse,decoder_loss,epoch,step,train/gradient_norm,train_loss
2700197889048576.0,0.15995855629444122,0.15995855629444122,2,49,0.08648885786533356,0.009176444262266159
5400395778097152.0,0.16415001451969147,0.16415001451969147,5,99,0.08613578230142593,0.006359117571264505
8100593935581184.0,0.15743117034435272,0.15743117034435272,8,149,0.14647410809993744,0.009617295116186142
1.0800791556194304e+16,0.15617269277572632,0.15617269277572632,11,199,0.15201742947101593,0.007413847371935844
1.3500990250549248e+16,0.16065682470798492,0.16065682470798492,13,249,0.10818229615688324,0.007893354631960392
1.6201187871162368e+16,0.16361847519874573,0.16361847519874573,16,299,0.1358228474855423,0.0054217008873820305
1.890138656551731e+16,0.15956515073776245,0.15956515073776245,19,349,0.11685934662818909,0.007239735219627619
2.160158311238861e+16,0.16371463239192963,0.16371463239192963,22,399,0.12499190121889114,0.007034143898636103
2.430178180674355e+16,0.14979398250579834,0.14979398250579834,24,449,0.12153098732233047,0.006732183508574963
2.7001980501098496e+16,0.1491648405790329,0.1491648405790329,27,499,0.0883084163069725,0.008261356502771378
2.970217704796979e+16,0.15760661661624908,0.15760661661624908,30,549,0.1078108698129654,0.005935038905590773
