cumulative_flops,cumulative_flops_val_sync,epoch,fused_dir,fused_pds,fused_wmse,step,train/gradient_norm,train_loss,val/fused_dir,val/fused_pds,val/fused_wmse,val_loss
2815683385622528.0,,2,0.9462538957595825,4.773689270019531,0.8166388273239136,49,2.728867292404175,1.388633131980896,,,,
5631366771245056.0,,5,0.9099336862564087,6.395264625549316,0.5790793299674988,99,42.67891311645508,1.3095991611480713,,,,
8447049619996672.0,,8,0.9266365170478821,4.1271820068359375,0.5286121368408203,149,2.4665346145629883,1.0339939594268799,,,,
1.1262733542490112e+16,,11,0.9342129230499268,3.0791866779327393,0.5069769024848938,199,4.5882568359375,0.9083168506622314,,,,
1.4078416391241728e+16,,13,0.9098014831542969,2.834923505783081,0.5057587027549744,249,2.903048515319824,0.8802312612533569,,,,
1.6894099239993344e+16,,16,0.9304237365722656,3.1383724212646484,0.4437221586704254,299,4.2626824378967285,0.8506017923355103,,,,
1.9709783162486784e+16,,19,0.8988767862319946,3.0796456336975098,0.39010435342788696,349,2.3621532917022705,0.7879565954208374,,,,
2.2525467084980224e+16,,22,0.8857425451278687,3.5656909942626953,0.40432852506637573,399,6.422346591949463,0.8494718670845032,,,,
2.5341148859990016e+16,,24,0.8990190625190735,1.2545071840286255,0.32807865738868713,449,2.8945751190185547,0.543431282043457,,,,
2.8156832782483456e+16,,27,0.896588921546936,3.4618589878082275,0.3494616448879242,499,10.048541069030762,0.785306453704834,,,,
3.0972516704976896e+16,,30,0.8876013159751892,4.497054100036621,0.3763591945171356,549,40.28221130371094,0.9148247241973877,,,,
3.378819847998669e+16,,33,0.871402382850647,2.752140522003174,0.3342486619949341,599,2.4920339584350586,0.696603000164032,,,,
3.660388025499648e+16,,36,0.8767424821853638,2.3380322456359863,0.33134472370147705,649,3.028394937515259,0.6528221964836121,,,,
3.941956632497357e+16,,38,0.8903378248214722,2.345034122467041,0.4435139000415802,699,8.730057716369629,0.767051100730896,,,,
4.223524809998336e+16,,41,0.8812093138694763,2.5589065551757812,0.3531474769115448,749,5.823686599731445,0.6971590518951416,,,,
4.505093416996045e+16,,44,0.8524123430252075,1.8518179655075073,0.30488988757133484,799,4.506583213806152,0.5753129124641418,,,,
4.786661594497024e+16,,47,0.8547546863555908,2.7084689140319824,0.33525675535202026,849,5.7156500816345215,0.6915791034698486,,,,
5.068229771998003e+16,,49,0.8462182879447937,1.0627753734588623,0.2562989294528961,899,2.8223726749420166,0.4471983313560486,,,,
5.349798378995712e+16,,52,0.8566349744796753,2.061654806137085,0.29337453842163086,949,3.0798513889312744,0.5852035284042358,,,,
5.631366556496691e+16,,55,0.8688627481460571,2.236117124557495,0.3264978528022766,999,3.1994094848632812,0.6369958519935608,,,,
5.91293473399767e+16,,58,0.8403486013412476,1.684882640838623,0.3169303834438324,1049,3.370013475418091,0.5694534778594971,,,,
6.194503340995379e+16,,61,0.8471808433532715,2.411609649658203,0.25178682804107666,1099,3.178656578063965,0.5776659250259399,,,,
6.476071518496358e+16,,63,0.8510502576828003,2.0907270908355713,0.2830491364002228,1149,3.096360445022583,0.5772268772125244,,,,
6.757639695997338e+16,,66,0.8767010569572449,2.3202991485595703,0.3069901466369629,1199,4.806815147399902,0.626690149307251,,,,
7.039208302995046e+16,,69,0.8554673194885254,2.3766913414001465,0.2674205005168915,1249,11.054214477539062,0.5906363725662231,,,,
7.320776050999296e+16,,72,0.8435662984848022,2.3548622131347656,0.28218549489974976,1299,3.0475051403045654,0.6020283102989197,,,,
7.602344657997005e+16,,74,0.8427281379699707,0.8928099274635315,0.21124382317066193,1349,1.5755865573883057,0.3847976326942444,,,,
7.883913264994714e+16,,77,0.831372857093811,1.560167670249939,0.2404017150402069,1399,6.0273284912109375,0.47955578565597534,,,,
8.165481012998963e+16,,80,0.8412746787071228,2.055452823638916,0.26211827993392944,1449,2.3525428771972656,0.5517910718917847,,,,
8.447049619996672e+16,,83,0.8284367322921753,1.5993504524230957,0.24655786156654358,1499,7.210824012756348,0.4893365502357483,,,,
8.72861822699438e+16,,86,0.8165463209152222,1.3800487518310547,0.23887315392494202,1549,1.9612234830856323,0.4585326611995697,,,,
9.01018683399209e+16,,88,0.8139095306396484,1.6731383800506592,0.26576361060142517,1599,6.626188278198242,0.5144684314727783,,,,
9.29175458199634e+16,,91,0.8549113273620605,1.5975122451782227,0.28762173652648926,1649,2.7782528400421143,0.5328640937805176,,,,
9.573323188994048e+16,,94,0.8137544393539429,1.9411430358886719,0.23354840278625488,1699,8.977357864379883,0.5090381503105164,,,,
9.854891795991757e+16,,97,0.8229525089263916,1.9557572603225708,0.2583669424057007,1749,3.398812770843506,0.536237895488739,,,,
1.0136459543996006e+17,,99,0.8084019422531128,0.6968252062797546,0.19009803235530853,1799,3.313647508621216,0.340620756149292,,,,
1.0418028150993715e+17,,102,0.8116487264633179,1.0729970932006836,0.21210810542106628,1849,1.3159244060516357,0.40057268738746643,,,,
1.0699596757991424e+17,,105,0.8218914866447449,1.8563382625579834,0.24668169021606445,1899,11.921807289123535,0.5145046710968018,,,,
1.0981164505995674e+17,,108,0.8017199039459229,0.9732178449630737,0.21437500417232513,1949,2.891434669494629,0.39186879992485046,,,,
1.1262733112993382e+17,,111,0.8071220517158508,1.2471837997436523,0.2128821462392807,1999,5.5282745361328125,0.4183127284049988,,,,
,1.1262733112993382e+17,111,,,,1999,,,0.9322220087051392,16.847400665283203,0.4411131739616394,2.2190754413604736
1.1544301719991091e+17,,113,0.7933524250984192,2.5422680377960205,0.2434956431388855,2049,15.469321250915527,0.5770577192306519,,,,
1.182586946799534e+17,,116,0.8441451787948608,1.628737211227417,0.2418447881937027,2099,1.749098300933838,0.4891330301761627,,,,
1.210743807499305e+17,,119,0.8122498393058777,1.178842306137085,0.20809577405452728,2149,1.5663175582885742,0.4072049856185913,,,,
1.2389006681990758e+17,,122,0.785632312297821,2.1216065883636475,0.23855052888393402,2199,9.930292129516602,0.5292744040489197,,,,
1.2670574429995008e+17,,124,0.7954462766647339,0.6245899796485901,0.1674969345331192,2249,2.195467472076416,0.3095005750656128,,,,
1.2952143036992717e+17,,127,0.7880567312240601,0.7874336242675781,0.17963790893554688,2299,1.2264713048934937,0.3371869623661041,,,,
1.3233711643990426e+17,,130,0.8023253679275513,1.0651803016662598,0.20289947092533112,2349,1.9878816604614258,0.38965001702308655,,,,
1.3515279391994675e+17,,133,0.7844865322113037,0.9280169010162354,0.21843625605106354,2399,0.9819543361663818,0.38968658447265625,,,,
1.3796847998992384e+17,,136,0.7907430529594421,1.6087384223937988,0.19017040729522705,2449,6.289772987365723,0.4301185607910156,,,,
1.4078416605990093e+17,,138,0.7870490550994873,1.6334832906723022,0.22327204048633575,2499,11.305168151855469,0.4653252959251404,,,,
1.4359984353994342e+17,,141,0.8247114419937134,1.6968541145324707,0.2261945754289627,2549,13.104482650756836,0.4783511161804199,,,,
1.4641552101998592e+17,,144,0.7687450647354126,1.66306471824646,0.17632466554641724,2599,12.038403511047363,0.41950565576553345,,,,
1.492312156798976e+17,,147,0.7696133852005005,1.5186433792114258,0.20263290405273438,2649,4.0982441902160645,0.43145859241485596,,,,
1.520468931599401e+17,,149,0.7898934483528137,0.3503865897655487,0.17664098739624023,2699,1.6844329833984375,0.2906689941883087,,,,
1.548625706399826e+17,,152,0.7761592864990234,0.8365048766136169,0.18619000911712646,2749,1.3407957553863525,0.3474564552307129,,,,
1.5767826529989427e+17,,155,0.79594886302948,1.3233370780944824,0.21664316952228546,2799,5.5316162109375,0.42857176065444946,,,,
1.6049394277993677e+17,,158,0.776989221572876,1.101635456085205,0.19820603728294373,2849,6.939918041229248,0.3860684931278229,,,,
1.6330962025997926e+17,,161,0.7704606056213379,0.8257879018783569,0.19814039766788483,2899,1.1422151327133179,0.357765257358551,,,,
1.6612531491989094e+17,,163,0.7819840312004089,1.0069735050201416,0.2204834669828415,2949,1.4665457010269165,0.3993792235851288,,,,
1.6894099239993344e+17,,166,0.8205753564834595,1.0753849744796753,0.2108049839735031,2999,3.1190733909606934,0.4004010260105133,,,,
1.7175666987997594e+17,,169,0.7694462537765503,1.0619182586669922,0.16979075968265533,3049,5.1895623207092285,0.35292720794677734,,,,
1.745723645398876e+17,,172,0.7753888964653015,1.096675992012024,0.2158059924840927,3099,2.3076839447021484,0.4030125141143799,,,,
1.773880420199301e+17,,174,0.7724671959877014,0.2992078959941864,0.17148759961128235,3149,1.6434850692749023,0.27865511178970337,,,,
1.802037366798418e+17,,177,0.7460224628448486,0.6595573425292969,0.15207871794700623,3199,3.3244569301605225,0.2926366925239563,,,,
1.830194141598843e+17,,180,0.7760537266731262,1.146547555923462,0.18164515495300293,3249,4.769839763641357,0.3739052712917328,,,,
1.858350916399268e+17,,183,0.7252200245857239,0.6341385841369629,0.15580272674560547,3299,4.596530914306641,0.2917385995388031,,,,
1.8865078629983846e+17,,186,0.7563697099685669,0.6652055978775024,0.19141732156276703,3349,1.4607726335525513,0.3335748612880707,,,,
1.9146646377988096e+17,,188,0.7584882974624634,0.5372143387794495,0.19583110511302948,3399,1.4789073467254639,0.3254013657569885,,,,
1.9428214125992346e+17,,191,0.7986863851547241,1.3596761226654053,0.17720137536525726,3449,9.490018844604492,0.3930376470088959,,,,
1.9709783591983514e+17,,194,0.7624781131744385,0.9692063331604004,0.1749890148639679,3499,1.4801963567733765,0.34815746545791626,,,,
1.9991351339987763e+17,,197,0.7366715669631958,0.8195981979370117,0.18147531151771545,3549,3.898890495300293,0.3371022939682007,,,,
2.0272919087992013e+17,,199,0.7374401688575745,0.08511612564325333,0.14219339191913605,3599,0.544646143913269,0.2244490385055542,,,,
2.055448855398318e+17,,202,0.7078269720077515,0.3314293324947357,0.12489397078752518,3649,0.8909398913383484,0.2288196086883545,,,,
2.083605630198743e+17,,205,0.7552839517593384,0.9268004894256592,0.15201596915721893,3699,6.945209503173828,0.320224404335022,,,,
2.111762404999168e+17,,208,0.718120813369751,0.6246753931045532,0.1472933292388916,3749,1.0454860925674438,0.28157296776771545,,,,
2.1399193515982848e+17,,211,0.7398858070373535,0.6348410844802856,0.17510907351970673,3799,1.7183305025100708,0.31258177757263184,,,,
2.1680761263987098e+17,,213,0.7462599873542786,0.5393162965774536,0.17258654534816742,3849,2.196897506713867,0.30114418268203735,,,,
2.1962329011991347e+17,,216,0.7665853500366211,0.8680495023727417,0.1463812291622162,3899,9.719985961914062,0.3098447322845459,,,,
2.2243898477982515e+17,,219,0.7082250118255615,0.5524109601974487,0.14391767978668213,3949,3.3409440517425537,0.2699812650680542,,,,
2.2525466225986765e+17,,222,0.7118484973907471,0.5575870275497437,0.16310910880565643,3999,1.7590769529342651,0.2900526523590088,,,,
,2.2525466225986765e+17,222,,,,3999,,,0.9143196940422058,19.859148025512695,0.3611968159675598,2.4385437965393066
2.2807033973991014e+17,,224,0.7131572365760803,0.07514787465333939,0.12538856267929077,4049,0.5409828424453735,0.20421907305717468,,,,
2.3088603439982182e+17,,227,0.6976383328437805,0.34753793478012085,0.11412975937128067,4099,0.7499393224716187,0.21864739060401917,,,,
2.3370171187986432e+17,,230,0.7258099913597107,0.45394766330718994,0.13165050745010376,4149,2.303659200668335,0.2496262788772583,,,,
2.365173893599068e+17,,233,0.7034883499145508,0.517905592918396,0.13307884335517883,4199,3.1337194442749023,0.2552182376384735,,,,
2.393330840198185e+17,,236,0.699280858039856,0.39877569675445557,0.13449478149414062,4249,2.806971788406372,0.24430042505264282,,,,
2.42148761499861e+17,,238,0.7138504981994629,0.2820611000061035,0.15678973495960236,4299,0.7995763421058655,0.2563808858394623,,,,
2.449644389799035e+17,,241,0.7495648264884949,0.6826139688491821,0.1441679149866104,4349,6.394773483276367,0.2873857915401459,,,,
2.4778013363981517e+17,,244,0.7045451402664185,0.40577462315559387,0.14173421263694763,4399,1.022355318069458,0.2527661919593811,,,,
2.5059581111985766e+17,,247,0.6899168491363525,0.5349899530410767,0.1581188440322876,4449,2.736513376235962,0.28060951828956604,,,,
2.5341148859990016e+17,,249,0.6935386657714844,0.03814895823597908,0.11817196756601334,4499,0.39985159039497375,0.19134074449539185,,,,
2.5622718325981184e+17,,252,0.6873135566711426,0.26459968090057373,0.11222002655267715,4549,0.9756785035133362,0.20741134881973267,,,,
2.5904286073985434e+17,,255,0.7243676781654358,0.39315980672836304,0.12983255088329315,4599,1.4823185205459595,0.24158531427383423,,,,
2.6185853821989683e+17,,258,0.6904227137565613,0.5580572485923767,0.13340573012828827,4649,2.748802900314331,0.25825372338294983,,,,
2.646742328798085e+17,,261,0.6921625137329102,0.45645400881767273,0.1251617968082428,4699,3.5866494178771973,0.2400234490633011,,,,
2.67489910359851e+17,,263,0.7084575891494751,0.27877527475357056,0.15837998688220978,4749,1.972161054611206,0.2571032643318176,,,,
