pert,model,pds,cosine,pearson_top500,h1_l1,tier
ACAT2,gene_direct_x64,0.38,0.1642532225733641,0.2813193164996426,539.3216861297769,strong
ACAT2,wavg_x64,0.38,0.1642532225733641,0.28131931649964265,539.3216861297769,strong
ACAT2,gate_x64,0.38,0.1642532225733641,0.2813193164996426,539.3216861297769,strong
ACVR1B,gene_direct_x64,0.62,-0.0035869336541084255,0.12569460647052255,275.61779581246265,weak
ACVR1B,wavg_x64,0.62,-0.0035869336541084255,0.12569460647052252,275.61779581246265,weak
ACVR1B,gate_x64,0.62,-0.0035869336541084255,0.12569460647052255,275.61779581246265,weak
AKT2,gene_direct_x64,0.6133333333333333,0.07070516158956816,0.1434354311794685,277.1425954759761,weak
AKT2,wavg_x64,0.6133333333333333,0.07070516158956816,0.1434354311794685,277.1425954759761,weak
AKT2,gate_x64,0.6133333333333333,0.07070516158956816,0.1434354311794685,277.1425954759761,weak
ARID1A,gene_direct_x64,0.30666666666666664,0.0953185932152085,0.15322544440520344,518.2172098637311,mid
ARID1A,wavg_x64,0.30666666666666664,0.0953185932152085,0.15322544440520344,518.2172098637311,mid
ARID1A,gate_x64,0.30666666666666664,0.0953185932152085,0.15322544440520344,518.2172098637311,mid
ATM,gene_direct_x64,0.2733333333333333,0.07205334654731094,0.07395802526194913,656.6624912182597,strong
ATM,wavg_x64,0.2733333333333333,0.07205334654731094,0.07395802526194913,656.6624912182597,strong
ATM,gate_x64,0.2733333333333333,0.07205334654731094,0.07395802526194913,656.6624912182597,strong
ATP6V0B,gene_direct_x64,0.6333333333333333,0.2289811864245561,0.3618270826661405,380.5375562848167,mid
ATP6V0B,wavg_x64,0.6733333333333333,0.2342874041699164,0.3682326182183883,380.5375562848167,mid
ATP6V0B,gate_x64,0.6333333333333333,0.2289811864245561,0.3618270826661405,380.5375562848167,mid
ATP6V0C,gene_direct_x64,0.1466666666666666,0.1632693867231533,0.32621628746569875,1066.6549765848213,strong
ATP6V0C,wavg_x64,0.14,0.16674787796833546,0.3339017745428805,1066.6549765848213,strong
ATP6V0C,gate_x64,0.1466666666666666,0.1632693867231533,0.32621628746569875,1066.6549765848213,strong
BIRC2,gene_direct_x64,0.4,0.03831409355536793,0.13517232275384164,532.7302886944417,mid
BIRC2,wavg_x64,0.4,0.03831409355536793,0.13517232275384164,532.7302886944417,mid
BIRC2,gate_x64,0.4,0.03831409355536793,0.13517232275384164,532.7302886944417,mid
BRD9,gene_direct_x64,0.19999999999999996,0.08511941767292239,0.02967834444837916,953.0837602631691,strong
BRD9,wavg_x64,0.19999999999999996,0.08511941767292239,0.029678344448379166,953.0837602631691,strong
BRD9,gate_x64,0.19999999999999996,0.08511941767292239,0.02967834444837916,953.0837602631691,strong
C1QBP,gene_direct_x64,0.9933333333333333,0.37067949128314404,0.30275133565377327,626.7133262989628,strong
C1QBP,wavg_x64,0.9933333333333333,0.3743737973868113,0.3361837842144188,626.7133262989628,strong
C1QBP,gate_x64,0.9933333333333333,0.37067949128314404,0.30275133565377327,626.7133262989628,strong
CALM3,gene_direct_x64,0.64,0.12008679032411612,0.1313409942039787,401.40694722824264,mid
CALM3,wavg_x64,0.64,0.12008679032411612,0.1313409942039787,401.40694722824264,mid
CALM3,gate_x64,0.64,0.12008679032411612,0.1313409942039787,401.40694722824264,mid
CASP2,gene_direct_x64,0.8733333333333333,0.06690404087801345,0.028388608623936395,167.50471709625344,weak
CASP2,wavg_x64,0.8733333333333333,0.06690404087801342,0.028388608623936384,167.50471709625344,weak
CASP2,gate_x64,0.8733333333333333,0.06690404087801345,0.028388608623936395,167.50471709625344,weak
CASP3,gene_direct_x64,0.26,0.06996370861165481,0.1663527987759678,802.2093092653886,strong
CASP3,wavg_x64,0.26,0.06996370861165481,0.1663527987759678,802.2093092653886,strong
CASP3,gate_x64,0.26,0.06996370861165481,0.1663527987759678,802.2093092653886,strong
CAST,gene_direct_x64,0.5066666666666666,-0.13950723895231185,-0.12004400107807515,337.5498944532701,mid
CAST,wavg_x64,0.5,-0.1364682087523428,-0.11534348550487296,337.5498944532701,mid
CAST,gate_x64,0.5066666666666666,-0.13950723895231185,-0.12004400107807515,337.5498944532701,mid
CDCA2,gene_direct_x64,0.7266666666666667,0.0366095586753022,0.13482086457944106,213.50087349961177,weak
CDCA2,wavg_x64,0.7266666666666667,0.0366095586753022,0.13482086457944106,213.50087349961177,weak
CDCA2,gate_x64,0.7266666666666667,0.0366095586753022,0.13482086457944106,213.50087349961177,weak
CENPO,gene_direct_x64,0.7,0.07475413277437519,0.21370840475336622,297.83834842007127,mid
CENPO,wavg_x64,0.7,0.07475413277437519,0.21370840475336622,297.83834842007127,mid
CENPO,gate_x64,0.7,0.07475413277437519,0.21370840475336622,297.83834842007127,mid
CHMP3,gene_direct_x64,0.28,0.03534887885785351,0.05896331303584416,390.77709899896945,mid
CHMP3,wavg_x64,0.26,0.03849724519870384,0.060111278948113925,390.77709899896945,mid
CHMP3,gate_x64,0.28,0.03534887885785351,0.05896331303584416,390.77709899896945,mid
CLDN6,gene_direct_x64,0.7933333333333333,0.04456230315901456,0.02594561971976141,229.63225801379667,weak
CLDN6,wavg_x64,0.7933333333333333,0.04456230315901456,0.02594561971976141,229.63225801379667,weak
CLDN6,gate_x64,0.7933333333333333,0.04456230315901456,0.02594561971976141,229.63225801379667,weak
CLDN7,gene_direct_x64,0.76,0.02722509954203004,0.0629571135191483,229.35459083430032,weak
CLDN7,wavg_x64,0.76,0.02722509954203004,0.0629571135191483,229.35459083430032,weak
CLDN7,gate_x64,0.76,0.02722509954203004,0.0629571135191483,229.35459083430032,weak
CREG1,gene_direct_x64,0.9466666666666667,0.137458665512669,0.24665739439563691,131.32642961225793,weak
CREG1,wavg_x64,0.9466666666666667,0.137458665512669,0.24665739439563691,131.32642961225793,weak
CREG1,gate_x64,0.9466666666666667,0.137458665512669,0.24665739439563691,131.32642961225793,weak
DAXX,gene_direct_x64,0.9866666666666667,0.21739567101302568,0.31960482757954833,284.6158954460916,mid
DAXX,wavg_x64,0.94,0.20864696882111217,0.30836835151010605,284.6158954460916,mid
DAXX,gate_x64,0.9866666666666667,0.21739567101302568,0.31960482757954833,284.6158954460916,mid
DHCR24,gene_direct_x64,0.7866666666666666,0.14152086774094738,0.21568671577942178,219.41366998358717,weak
DHCR24,wavg_x64,0.7866666666666666,0.14152086774094738,0.21568671577942178,219.41366998358717,weak
DHCR24,gate_x64,0.7866666666666666,0.14152086774094738,0.21568671577942178,219.41366998358717,weak
DHX36,gene_direct_x64,1.0,0.4272226755520059,0.5709382490060094,1279.046007136316,strong
DHX36,wavg_x64,1.0,0.42590266557535655,0.5636671653878972,1279.046007136316,strong
DHX36,gate_x64,1.0,0.4272226755520059,0.5709382490060094,1279.046007136316,strong
DLG5,gene_direct_x64,0.4933333333333333,0.03801336844551421,0.13194613784202233,345.2914160946566,mid
DLG5,wavg_x64,0.4933333333333333,0.03801336844551421,0.13194613784202233,345.2914160946566,mid
