pert,lam,pds,des
ACAT2,0.0,0.38,0.3364251692153422
ACAT2,0.25,0.6599999999999999,0.33792930559037354
ACAT2,0.5,0.6,0.3459513662572073
ACAT2,1.0,0.5533333333333333,0.3700175482577087
ACAT2,2.0,0.5266666666666666,0.39659062421659563
ACVR1B,0.0,0.62,0.06240713224368499
ACVR1B,0.25,0.52,0.05943536404160475
ACVR1B,0.5,0.4866666666666667,0.0713224368499257
ACVR1B,1.0,0.5066666666666666,0.11292719167904904
ACVR1B,2.0,0.5266666666666666,0.1649331352154532
AKT2,0.0,0.6133333333333333,0.07380073800738007
AKT2,0.25,0.3666666666666667,0.07749077490774908
AKT2,0.5,0.3666666666666667,0.07380073800738007
AKT2,1.0,0.38,0.06826568265682657
AKT2,2.0,0.3733333333333333,0.0959409594095941
ARID1A,0.0,0.30666666666666664,0.29098837209302325
ARID1A,0.25,0.3733333333333333,0.2933139534883721
ARID1A,0.5,0.45333333333333337,0.30959302325581395
ARID1A,1.0,0.5133333333333333,0.3436046511627907
ARID1A,2.0,0.52,0.37383720930232556
ATM,0.0,0.2733333333333333,0.30752621838371375
ATM,0.25,0.033333333333333326,0.30999383096853794
ATM,0.5,0.020000000000000018,0.31369524984577424
ATM,1.0,0.013333333333333308,0.33682911782850095
ATM,2.0,0.013333333333333308,0.36644046884639114
ATP6V0B,0.0,0.6333333333333333,0.03571428571428571
ATP6V0B,0.25,0.5733333333333333,0.03571428571428571
ATP6V0B,0.5,0.5333333333333333,0.03571428571428571
ATP6V0B,1.0,0.52,0.03571428571428571
ATP6V0B,2.0,0.5,0.03571428571428571
ATP6V0C,0.0,0.1466666666666666,0.07142857142857142
ATP6V0C,0.25,0.6866666666666666,0.07142857142857142
ATP6V0C,0.5,0.6733333333333333,0.07142857142857142
ATP6V0C,1.0,0.6533333333333333,0.061224489795918366
ATP6V0C,2.0,0.62,0.05102040816326531
BIRC2,0.0,0.4,0.46287927695287284
BIRC2,0.25,0.86,0.4734237142242307
BIRC2,0.5,0.8333333333333334,0.49967721110393803
BIRC2,1.0,0.8066666666666666,0.53539918226813
BIRC2,2.0,0.8,0.5883365612222939
BRD9,0.0,0.19999999999999996,0.06299212598425197
BRD9,0.25,0.8733333333333333,0.05905511811023622
BRD9,0.5,0.86,0.047244094488188976
BRD9,1.0,0.86,0.06299212598425197
BRD9,2.0,0.8666666666666667,0.0984251968503937
C1QBP,0.0,0.9933333333333333,0.48429822687459945
C1QBP,0.25,0.8866666666666667,0.49391155735953857
C1QBP,0.5,0.8666666666666667,0.5039521469771416
C1QBP,1.0,0.86,0.5263832514419996
C1QBP,2.0,0.84,0.5697500534073916
CALM3,0.0,0.64,0.11402359108781127
CALM3,0.25,0.053333333333333344,0.11533420707732635
CALM3,0.5,0.033333333333333326,0.11009174311926606
CALM3,1.0,0.033333333333333326,0.10222804718217562
CALM3,2.0,0.026666666666666616,0.11926605504587157
CASP2,0.0,0.8733333333333333,0.05555555555555555
CASP2,0.25,0.3933333333333333,0.05555555555555555
CASP2,0.5,0.2733333333333333,0.05555555555555555
CASP2,1.0,0.22666666666666668,0.05555555555555555
CASP2,2.0,0.19999999999999996,0.05555555555555555
CASP3,0.0,0.26,0.5997504289502418
CASP3,0.25,0.94,0.6142567462174388
CASP3,0.5,0.8933333333333333,0.6239276243955701
CASP3,1.0,0.9,0.6340664482919981
CASP3,2.0,0.9066666666666666,0.6521603493994697
CAST,0.0,0.5066666666666666,0.23946994794131565
CAST,0.25,0.7466666666666666,0.2423095125414103
CAST,0.5,0.7066666666666667,0.25319451017510647
CAST,1.0,0.6599999999999999,0.3009938476100331
CAST,2.0,0.6466666666666667,0.3819214387127307
CDCA2,0.0,0.7266666666666667,0.02158273381294964
CDCA2,0.25,0.17333333333333334,0.03597122302158273
CDCA2,0.5,0.1333333333333333,0.039568345323741004
CDCA2,1.0,0.12,0.050359712230215826
CDCA2,2.0,0.12,0.08633093525179857
CENPO,0.0,0.7,0.09142053445850915
CENPO,0.25,0.7133333333333334,0.09845288326300984
CENPO,0.5,0.64,0.11392405063291139
CENPO,1.0,0.6133333333333333,0.1659634317862166
CENPO,2.0,0.6333333333333333,0.24613220815752462
CHMP3,0.0,0.28,0.21288515406162464
CHMP3,0.25,0.42666666666666664,0.2203548085901027
CHMP3,0.5,0.44666666666666666,0.2222222222222222
CHMP3,1.0,0.44666666666666666,0.22549019607843138
CHMP3,2.0,0.43333333333333335,0.23669467787114845
CLDN6,0.0,0.7933333333333333,0.0
CLDN6,0.25,0.1333333333333333,0.0
CLDN6,0.5,0.09333333333333338,0.0
CLDN6,1.0,0.08666666666666667,0.034482758620689655
CLDN6,2.0,0.07999999999999996,0.034482758620689655
CLDN7,0.0,0.76,0.024489795918367346
CLDN7,0.25,0.45999999999999996,0.024489795918367346
CLDN7,0.5,0.4066666666666666,0.024489795918367346
CLDN7,1.0,0.33999999999999997,0.024489795918367346
CLDN7,2.0,0.31999999999999995,0.061224489795918366
CREG1,0.0,0.9466666666666667,0.047619047619047616
CREG1,0.25,0.41333333333333333,0.047619047619047616
CREG1,0.5,0.3533333333333334,0.047619047619047616
CREG1,1.0,0.33333333333333337,0.047619047619047616
CREG1,2.0,0.31333333333333335,0.047619047619047616
DAXX,0.0,0.9866666666666667,0.13
DAXX,0.25,0.76,0.13636363636363635
DAXX,0.5,0.6266666666666667,0.15363636363636363
DAXX,1.0,0.5466666666666666,0.18727272727272729
DAXX,2.0,0.52,0.22181818181818183
DHCR24,0.0,0.7866666666666666,0.033444816053511704
DHCR24,0.25,0.45333333333333337,0.026755852842809364
DHCR24,0.5,0.3933333333333333,0.023411371237458192
DHCR24,1.0,0.3733333333333333,0.030100334448160536
DHCR24,2.0,0.3466666666666667,0.056856187290969896
DHX36,0.0,1.0,0.6541091781643671
DHX36,0.25,1.0,0.6596280743851229
DHX36,0.5,0.9933333333333333,0.6670665866826635
DHX36,1.0,0.9466666666666667,0.6829034193161367
DHX36,2.0,0.9066666666666666,0.6963407318536293
DLG5,0.0,0.4933333333333333,0.10170940170940171
DLG5,0.25,0.6133333333333333,0.1094017094017094
DLG5,0.5,0.56,0.11452991452991453
DLG5,1.0,0.5466666666666666,0.152991452991453
