pert,model,des,k_true,h1_l1,tier
CHMP3,gene_top200,0.14098972922502334,2142,390.77709899896945,mid
CHMP3,gene_top500,0.15779645191409897,2142,390.77709899896945,mid
CLDN6,gene_direct,0.0,29,229.63225801379667,weak
CLDN6,h1_mean,0.0,29,229.63225801379667,weak
CLDN6,gene_top50,0.0,29,229.63225801379667,weak
CLDN6,gene_top100,0.0,29,229.63225801379667,weak
CLDN6,gene_top200,0.0,29,229.63225801379667,weak
CLDN6,gene_top500,0.0,29,229.63225801379667,weak
CLDN7,gene_direct,0.024489795918367346,245,229.35459083430032,weak
CLDN7,h1_mean,0.09795918367346938,245,229.35459083430032,weak
CLDN7,gene_top50,0.012244897959183673,245,229.35459083430032,weak
CLDN7,gene_top100,0.0163265306122449,245,229.35459083430032,weak
CLDN7,gene_top200,0.024489795918367346,245,229.35459083430032,weak
CLDN7,gene_top500,0.024489795918367346,245,229.35459083430032,weak
CREG1,gene_direct,0.047619047619047616,21,131.32642961225793,weak
CREG1,h1_mean,0.0,21,131.32642961225793,weak
CREG1,gene_top50,0.047619047619047616,21,131.32642961225793,weak
CREG1,gene_top100,0.047619047619047616,21,131.32642961225793,weak
CREG1,gene_top200,0.047619047619047616,21,131.32642961225793,weak
CREG1,gene_top500,0.047619047619047616,21,131.32642961225793,weak
DAXX,gene_direct,0.13,1100,284.6158954460916,mid
DAXX,h1_mean,0.22272727272727272,1100,284.6158954460916,mid
DAXX,gene_top50,0.06909090909090909,1100,284.6158954460916,mid
DAXX,gene_top100,0.07181818181818182,1100,284.6158954460916,mid
DAXX,gene_top200,0.08,1100,284.6158954460916,mid
DAXX,gene_top500,0.10272727272727272,1100,284.6158954460916,mid
DHCR24,gene_direct,0.033444816053511704,299,219.41366998358717,weak
DHCR24,h1_mean,0.12374581939799331,299,219.41366998358717,weak
DHCR24,gene_top50,0.026755852842809364,299,219.41366998358717,weak
DHCR24,gene_top100,0.030100334448160536,299,219.41366998358717,weak
DHCR24,gene_top200,0.030100334448160536,299,219.41366998358717,weak
DHCR24,gene_top500,0.033444816053511704,299,219.41366998358717,weak
DHX36,gene_direct,0.6541091781643671,8335,1279.046007136316,strong
DHX36,h1_mean,0.7186562687462508,8335,1279.046007136316,strong
DHX36,gene_top50,0.4668266346730654,8335,1279.046007136316,strong
DHX36,gene_top100,0.46790641871625677,8335,1279.046007136316,strong
DHX36,gene_top200,0.46994601079784043,8335,1279.046007136316,strong
DHX36,gene_top500,0.47810437912417514,8335,1279.046007136316,strong
DLG5,gene_direct,0.10170940170940171,1170,345.2914160946566,mid
DLG5,h1_mean,0.24615384615384617,1170,345.2914160946566,mid
DLG5,gene_top50,0.06495726495726496,1170,345.2914160946566,mid
DLG5,gene_top100,0.06666666666666667,1170,345.2914160946566,mid
DLG5,gene_top200,0.07008547008547009,1170,345.2914160946566,mid
DLG5,gene_top500,0.08205128205128205,1170,345.2914160946566,mid
DNAJA3,gene_direct,0.3316633266533066,1996,1354.5528998880072,strong
DNAJA3,h1_mean,0.4849699398797595,1996,1354.5528998880072,strong
DNAJA3,gene_top50,0.13527054108216433,1996,1354.5528998880072,strong
DNAJA3,gene_top100,0.1467935871743487,1996,1354.5528998880072,strong
DNAJA3,gene_top200,0.16432865731462926,1996,1354.5528998880072,strong
DNAJA3,gene_top500,0.20791583166332667,1996,1354.5528998880072,strong
DNMT1,gene_direct,0.5840143003064351,7832,1217.1912972959708,strong
DNMT1,h1_mean,0.6667517875383044,7832,1217.1912972959708,strong
DNMT1,gene_top50,0.4346271705822268,7832,1217.1912972959708,strong
DNMT1,gene_top100,0.4353932584269663,7832,1217.1912972959708,strong
DNMT1,gene_top200,0.4374361593462717,7832,1217.1912972959708,strong
DNMT1,gene_top500,0.44126659856996936,7832,1217.1912972959708,strong
EID2,gene_direct,0.07142857142857142,14,182.26110675808377,weak
EID2,h1_mean,0.0,14,182.26110675808377,weak
EID2,gene_top50,0.07142857142857142,14,182.26110675808377,weak
EID2,gene_top100,0.07142857142857142,14,182.26110675808377,weak
EID2,gene_top200,0.07142857142857142,14,182.26110675808377,weak
EID2,gene_top500,0.07142857142857142,14,182.26110675808377,weak
EIF4B,gene_direct,0.3887331124139689,3923,503.7977523695263,mid
EIF4B,h1_mean,0.43945959724700484,3923,503.7977523695263,mid
EIF4B,gene_top50,0.2238083099668621,3923,503.7977523695263,mid
EIF4B,gene_top100,0.22941626306398163,3923,503.7977523695263,mid
EIF4B,gene_top200,0.23808309966862096,3923,503.7977523695263,mid
EIF4B,gene_top500,0.2513382615345399,3923,503.7977523695263,mid
EPB41L2,gene_direct,0.32767402376910015,3534,1054.3737970006805,strong
EPB41L2,h1_mean,0.3638936049801924,3534,1054.3737970006805,strong
EPB41L2,gene_top50,0.20797962648556875,3534,1054.3737970006805,strong
EPB41L2,gene_top100,0.21222410865874364,3534,1054.3737970006805,strong
EPB41L2,gene_top200,0.21760045274476514,3534,1054.3737970006805,strong
EPB41L2,gene_top500,0.23118279569892472,3534,1054.3737970006805,strong
EPHB4,gene_direct,0.3263582966226138,2724,773.076519006132,strong
EPHB4,h1_mean,0.5818649045521292,2724,773.076519006132,strong
EPHB4,gene_top50,0.16005873715124816,2724,773.076519006132,strong
EPHB4,gene_top100,0.1633627019089574,2724,773.076519006132,strong
EPHB4,gene_top200,0.1696035242290749,2724,773.076519006132,strong
EPHB4,gene_top500,0.18759177679882524,2724,773.076519006132,strong
ETV4,gene_direct,0.2563422945853843,2641,820.8018508805653,strong
ETV4,h1_mean,0.3335857629685725,2641,820.8018508805653,strong
