pert,model,pds,cosine,pearson_top500,h1_l1,ref_l1
ACAT2,zero,0.31333333333333335,0.0,0.0,539.3216861297769,282.4477529898286
ACAT2,h1_mean,0.30000000000000004,0.1160470917158083,0.1235160704014593,539.3216861297769,282.4477529898286
ACAT2,gene_direct,0.33333333333333337,0.1642532225733641,0.2813193164996426,539.3216861297769,282.4477529898286
ACAT2,gene_scaled,0.32666666666666666,0.16425322257336417,0.2813193164996427,539.3216861297769,282.4477529898286
ACAT2,gene_top50,0.32666666666666666,0.2132800294329926,0.28309330515427716,539.3216861297769,282.4477529898286
ACAT2,gene_top50_scaled,0.31333333333333335,0.21328002943299268,0.2830933051542768,539.3216861297769,282.4477529898286
ACAT2,gene_top100,0.32666666666666666,0.19468468609520845,0.2591084733917067,539.3216861297769,282.4477529898286
ACAT2,gene_top100_scaled,0.31333333333333335,0.19468468609520842,0.259108473391707,539.3216861297769,282.4477529898286
ACAT2,gene_top200,0.33999999999999997,0.19033246556554562,0.2542261699871312,539.3216861297769,282.4477529898286
ACAT2,gene_top200_scaled,0.31333333333333335,0.1903324655655456,0.2542261699871316,539.3216861297769,282.4477529898286
ACAT2,gene_top500,0.33333333333333337,0.1794373671886817,0.23927153991522873,539.3216861297769,282.4477529898286
ACAT2,gene_top500_scaled,0.31999999999999995,0.17943736718868158,0.23927153991522845,539.3216861297769,282.4477529898286
ACAT2,gene_direct_x2,0.36,0.1642532225733641,0.2813193164996426,539.3216861297769,282.4477529898286
ACAT2,gene_direct_x4,0.3666666666666667,0.1642532225733641,0.2813193164996426,539.3216861297769,282.4477529898286
ACAT2,gene_direct_x8,0.3666666666666667,0.1642532225733641,0.2813193164996426,539.3216861297769,282.4477529898286
ACAT2,gene_direct_x16,0.38,0.1642532225733641,0.2813193164996426,539.3216861297769,282.4477529898286
ACAT2,gene_direct_x32,0.38,0.1642532225733641,0.2813193164996426,539.3216861297769,282.4477529898286
ACAT2,gene_direct_x64,0.38,0.1642532225733641,0.2813193164996426,539.3216861297769,282.4477529898286
ACAT2,gene_direct_x128,0.38,0.1642532225733641,0.2813193164996426,539.3216861297769,282.4477529898286
ACAT2,gene_direct_x256,0.38,0.1642532225733641,0.2813193164996426,539.3216861297769,282.4477529898286
ACAT2,gene_top100_x16,0.33999999999999997,0.19468468609520845,0.2591084733917067,539.3216861297769,282.4477529898286
ACAT2,gene_top100_x64,0.33999999999999997,0.19468468609520845,0.2591084733917067,539.3216861297769,282.4477529898286
