ref,pert,pearson_full,pearson_top500,sign_agree_top200,sign_cos_top200,h1_l1,ref_l1
k562_gwps,MAPKAPK2,0.0975540097342726,0.15520945069676487,0.15656565,0.15656565129756927,119.517685,291.549
k562_gwps,MAST2,0.030373972882427755,0.03680076724505048,0.06818182,0.06818182021379471,196.26912,278.38028
k562_gwps,MAU2,0.14748040436983834,0.1428540543857909,0.2741117,0.27411168813705444,1009.85596,460.42096
k562_gwps,MBTPS1,0.18119526585626447,0.3116755311708991,0.13661203,0.13661202788352966,802.4983,291.54837
k562_gwps,MED1,0.21511767054667963,-0.024977607952072666,0.4792746,0.47927460074424744,801.28455,456.81415
k562_gwps,MED12,0.08808752306597631,0.015007944735934958,0.2437186,0.24371859431266785,368.30402,1152.2773
k562_gwps,MED13,0.07464853451579816,0.09283573468406167,0.12594458,0.125944584608078,403.7724,237.93205
k562_gwps,MED13L,0.05334257535307377,0.06036568989897974,0.07106599,0.0710659921169281,229.34845,319.38144
k562_gwps,MED24,0.12670135454637893,0.023027177650492885,0.2556962,0.25569620728492737,1058.5991,648.2025
k562_gwps,METTL14,0.336341626923465,0.48438741724696976,0.6147757,0.6147757172584534,2425.7134,356.37897
k562_gwps,METTL17,0.14632487133548314,0.23839465298697918,0.25729442,0.2572944164276123,742.5851,251.70709
k562_gwps,METTL3,0.3298886385564607,0.4783308891518309,0.5963542,0.5963541865348816,2403.0854,302.28003
k562_gwps,MKI67,0.1740831742673551,0.34153242326045763,0.0075949365,0.007594936527311802,286.8509,225.72592
k562_gwps,MTA1,0.18851577318701854,0.3558721794809776,0.010335918,0.010335917584598064,307.53705,274.86163
k562_gwps,NCK2,0.0332918673468307,0.037026376247810515,0.12755102,0.12755101919174194,100.373245,193.78587
k562_gwps,NDUFB4,0.1733451831279953,0.4824458828319219,-0.093023255,-0.09302325546741486,308.72278,244.89336
k562_gwps,NDUFB6,0.15016241980927736,0.4768447160395498,-0.08418367,-0.08418367058038712,330.33038,183.44731
k562_gwps,NISCH,0.1128846365183102,0.21487705679649807,0.017948719,0.01794871874153614,284.55414,166.13118
k562_gwps,NIT1,0.007001717833542744,0.07462790869204006,-0.053299494,-0.053299494087696075,1059.167,210.93684
k562_gwps,NRAS,0.1201698353766181,0.17987629701912014,0.091836736,0.09183673560619354,179.29936,217.26251
k562_gwps,OXA1L,0.3436972658487984,0.3398759566051015,0.58152175,0.58152174949646,1349.117,528.35956
k562_gwps,OXCT1,0.22643813391432235,0.2890945923005524,0.29787233,0.2978723347187042,497.94592,209.4851
k562_gwps,PAGR1,0.11211106655216042,0.27703779402410167,0.08816121,0.08816120773553848,244.18466,236.7717
k562_gwps,PBX1,-0.0035264025936045,0.011942787574565166,-0.042821158,-0.04282115772366524,147.802,200.8105
k562_gwps,PHF10,0.19153050262922117,0.20737664927850244,0.2757732,0.27577319741249084,524.55475,357.2859
k562_gwps,PHF14,0.16418725340062235,0.23841135661307797,0.1721519,0.17215189337730408,326.7809,278.8505
k562_gwps,PLCB3,-0.02291984368126012,0.0018368026917152704,-0.010230179,-0.010230178944766521,316.30157,341.32623
k562_gwps,PMS1,0.07208678320671599,0.14607861308444686,0.005037783,0.005037783179432154,142.96251,351.71213
k562_gwps,POLB,0.02945219442059446,0.0050196291832035065,0.11139241,0.11139240860939026,239.2138,386.34125
k562_gwps,PRCP,0.08344550486000714,0.1312826147292623,0.08080808,0.08080808073282242,108.81564,173.02554
k562_gwps,PRDM14,0.10221957455021624,0.11500024576880491,0.1336761,0.13367609679698944,2660.8545,260.25574
k562_gwps,PRR12,0.036015881923419375,0.08907449583274747,0.048469387,0.048469386994838715,351.02502,272.5138
k562_gwps,PTPN1,0.07017777140679239,0.13111750845795453,0.103535354,0.10353535413742065,115.83929,455.2982
k562_gwps,RAF1,0.020984078956114177,0.02967648751032458,-0.08312342,-0.08312342315912247,285.638,290.18402
k562_gwps,RNF2,0.0011156153814111188,0.024057882207588338,-0.09620253,-0.09620252996683121,712.3932,306.3783
k562_gwps,RNF20,0.22121049059361775,0.2680636428129343,0.37209302,0.3720930218696594,2137.4812,585.9882
k562_gwps,RRM1,0.041547202532426636,0.03703626164603738,0.0,0.0,384.6637,400.6939
k562_gwps,SAFB,0.14128540217720703,0.2266379780965619,0.18798956,0.18798956274986267,531.4162,342.5266
k562_gwps,SALL4,0.016733917105139433,-0.0015150305708400919,0.04761905,0.0476190485060215,1174.1462,399.25986
k562_gwps,SDC1,0.26064597793336236,0.30987250143530004,0.397878,0.3978779911994934,537.1478,269.99078
k562_gwps,SEC62,0.03546543509317276,0.07106738603293368,-0.0051020407,-0.005102040711790323,995.8467,822.1421
k562_gwps,SHPRH,0.17233542672460664,0.21190686962320746,0.22797927,0.22797927260398865,402.99295,240.27408
k562_gwps,SIN3B,0.20662227999722405,0.2804194655960055,0.36675462,0.3667546212673187,1228.7734,399.76566
k562_gwps,SIX4,0.008898274565137013,0.028232250313100025,0.012658228,0.012658228166401386,261.15076,214.77548
k562_gwps,SLC25A3,0.2610606554659038,0.5025102667328799,0.09207161,0.09207160770893097,354.9101,267.59454
k562_gwps,SLC39A6,0.14524896868255804,0.19812671654328384,0.25714287,0.2571428716182709,1581.2957,254.46979
k562_gwps,SMAGP,0.09086850048114012,0.16519363276617638,-0.05867347,-0.058673471212387085,373.12805,203.6449
k562_gwps,SMARCA4,0.09369145272167546,0.13167023036790665,0.18829517,0.1882951706647873,1731.9606,327.67532
k562_gwps,SMARCA5,0.12163070838415385,0.1646607143824276,0.14213198,0.1421319842338562,977.4984,344.03256
k562_gwps,SOX2,0.002250621393768582,0.0879038058184563,-0.015037594,-0.015037594363093376,1097.8475,1186.5579
k562_gwps,SSBP1,0.23698711579207438,0.30781812855668156,0.39210525,0.39210525155067444,423.6704,304.0408
k562_gwps,STAG2,0.008060851069829789,0.22946763759696231,-0.04556962,-0.04556962102651596,716.3636,272.54987
k562_gwps,STAT1,0.1046705185394234,0.16598254320366568,0.10152284,0.10152284055948257,116.34686,289.9077
k562_gwps,STAT6,0.03541888543212034,0.030775813574702514,0.13350126,0.13350126147270203,334.86093,810.60065
k562_gwps,STX4,0.024215101352181,0.05181619862325059,-0.027918782,-0.027918782085180283,282.0889,285.01526
k562_gwps,SUPT4H1,0.21800203351129083,0.060060124694732174,0.4625323,0.46253231167793274,1963.2397,402.04773
